Stu dent,Term,Year,Level,Status,YearTerm,IsFemale,Ethnicity,Age,GPA-HS,GPA-TF,Major,Minor/Major2,Cred-Tot,Cred-Cum,GPA-PRE,GPA-Term,GPA-POST
5660,Spring,2013,Senior,C. UG,Fall,0,White,25,2.91,,IS,,6,82,2.033,2,2.032
5660,Fall,2014,Senior,C. UG,Fall,0,White,25,2.91,,IS,,7,85,2.032,0,2.032
5660,Fall,2015,Senior,C. UG,Fall,0,White,26,2.91,,IS,,3,85,2.032,0,2.032
5694,Fall,2011,Sophomore,C. UG,Fall,0,Blk/AA,23,3,,IS,,9,35,2.086,3.667,2.409
5694,Spring,2011,Sophomore,C. UG,Fall,0,Blk/AA,23,3,,IS,,9,44,2.409,3,2.509
5694,Fall,2012,Junior,C. UG,Fall,0,Blk/AA,24,3,,IS,,19,53,2.509,2.563,2.522
5694,Spring,2012,Senior,C. UG,Fall,0,Blk/AA,24,3,,IS,,19,72,2.522,2.375,2.494
5694,Fall,2013,Senior,C. UG,Fall,0,Blk/AA,25,3,,IS,,15,96.5,2.533,2.8,2.57
5726,Fall,2010,Senior,C. UG,Fall,0,White,22,3.96,,MATH,,3,78,3.061,3,3.059
5726,Spring,2010,Senior,C. UG,Fall,0,White,22,3.96,,CSEE,,13,81,3.059,3.3,3.084
5726,Fall,2011,Senior,C. UG,Fall,0,White,23,3.96,,CSEE,,15.5,91,3.084,2.75,3.047
5726,Spring,2011,Senior,C. UG,Fall,0,White,23,3.96,,CSEE,,5,104.5,3.047,2.4,3.018
5726,Fall,2012,Senior,C. UG,Fall,0,White,24,3.96,,CSEE,,5,111,3.018,3.4,3.034
5739,Fall,2010,Junior,C. UG,Fall,0,Asian,22,2.5,,BIOS,,12.5,88,2.784,3,2.808
5739,Spring,2010,Senior,C. UG,Fall,0,Asian,23,2.5,,BIOS,,13.5,100.5,2.808,3.667,2.901
5739,Fall,2011,Senior,C. UG,Fall,0,Asian,23,2.5,,BIOS,,2,114,2.901,2,2.885
5739,Spring,2011,Senior,C. UG,Fall,0,Asian,24,2.5,,BIOS,,8,116,2.885,2.5,2.872
5753,Fall,2010,Senior,C. UG,Spring,1,Asian,31,,,CSEE,,18,135,2.964,3.333,3
5753,Spring,2010,Senior,C. UG,Spring,1,Asian,31,,,CSEE,,19,144,3,2.615,2.952
5769,Fall,2010,Junior,C. UG,Fall,0,White,23,3,,IS,,14,67,2.049,1.5,1.968
5769,Spring,2010,Junior,C. UG,Fall,0,White,24,3,,IS,,15,78,2.01,0,1.793
5798,Fall,2010,Senior,C. UG,Fall,0,White,21,4.11,,CSEE,,16.5,100,3.83,3.5,3.795
5803,Fall,2010,Senior,C. UG,Fall,0,White,21,4.51,,CSEE,,15.5,130,3.496,3.636,3.507
5803,Spring,2010,Senior,C. UG,Fall,0,White,22,4.51,,CSEE,,13.5,144.5,3.507,3.5,3.507
5805,Fall,2010,Senior,C. UG,Spring,0,White,23,2.08,3.53,IS,,3,127,2.547,4,2.592
5817,Fall,2010,Senior,C. UG,Fall,1,Asian,21,3.53,,IS,,18,116,2.629,2.8,2.649
5817,Spring,2010,Senior,C. UG,Fall,1,Asian,22,3.53,,IS,,13.5,128,2.649,2.75,2.657
5817,Fall,2011,Senior,C. UG,Fall,1,Asian,22,3.53,,IS,,16.5,141.5,2.657,3,2.678
5817,Spring,2011,Senior,C. UG,Fall,1,Asian,23,3.53,,IS,,6,158,2.678,3,2.69
5824,Spring,2010,Senior,C. UG,Spring,0,White,33,,,IS,,6,93,4,4,4
5824,Spring,2011,Senior,C. UG,Spring,0,White,34,,,IS,,6,12,4,4,4
5824,Fall,2012,Senior,C. UG,Spring,0,White,34,,,IS,,6,18,4,4,4
5824,Spring,2012,Senior,C. UG,Spring,0,White,35,,,IS,,6,21,4,4,4
5824,Fall,2013,Senior,C. UG,Spring,0,White,35,,,IS,,6,24,4,3.5,3.9
5824,Fall,2014,Senior,C. UG,Spring,0,White,36,,,IS,,6,30,3.9,4,3.917
5824,Spring,2014,Senior,C. UG,Spring,0,White,37,,,IS,,3,36,3.917,0,3.917
5824,Fall,2015,Senior,C. UG,Spring,0,White,37,,,IS,,6,36,3.917,0,3.917
5838,Fall,2010,Senior,C. UG,Fall,0,White,22,3.45,,IS,,19.5,103,2.758,3.333,2.846
5879,Fall,2010,Junior,C. UG,Fall,1,Int'l,25,2.72,,BIOS,,15,73,3.013,2.3,2.93
5879,Spring,2010,Junior,C. UG,Fall,1,Int'l,26,2.72,,BIOS,,12,85,2.93,2.667,2.898
